Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202012,04,353000,017,0366,72420 ,00000 ,4112 ,999,99999, , ,85939      ,4,8,0,Taylor town,14,14,6703407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,04,357000,013,0368,73000 ,00000 ,161719 ,429,38060, ,1,85281      ,4,8,0,Tempe,118,118,24670698,8,16,2077440,0,0,0,13,1205,210767153,0,0,0,0,0,0,0,0,0,0,0,0
202012,04,365000,013,0372,74190 ,00000 ,6545 ,429,38060, , ,85353      ,4,8,12,Tolleson,6,6,1511628,0,0,0,0,0,0,0,0,0,6,6,1511628,0,0,0,0,0,0,0,0,0
202012,04,373000,019,0385,77000 ,00000 ,520116 ,536,46060,2,1,85726      ,4,8,1,Tucson,1043,1043,265469961,21,42,4996313,0,0,0,44,670,100520634,137,137,34434663,2,4,307355,0,0,0,5,25,2967032
202012,04,381000,013,0397,82740 ,00000 ,6363 ,429,38060,2, ,85390      ,4,8,11,Wickenburg town,212,212,72617763,0,0,0,0,0,0,0,0,0,194,194,65661328,0,0,0,0,0,0,0,0,0
202012,04,401000,025,    ,99990 ,00000 ,83782 ,999,39150, , ,86305      ,4,8,12,Yavapai County Unincorporated Area,469,469,157391513,4,8,1273543,0,0,0,0,0,0,469,469,157391513,4,8,1273543,0,0,0,0,0,0
202012,04,405000,013,0416,85400 ,00000 ,6156 ,429,38060, , ,853631212  ,4,8,12,Youngtown town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,04,409000,027,0420,85540 ,00000 ,93064 ,999,49740, ,1,853641436  ,4,8,12,Yuma,577,577,105872389,24,48,9896428,7,28,1032080,1,5,184300,577,577,105872389,24,48,9896428,7,28,1032080,1,5,184300
202012,04,413000,027,    ,99990 ,00000 ,60013 ,999,49740, , ,85364      ,4,8,12,Yuma County Unincorporated Area,108,108,13412189,14,28,1967280,0,0,0,0,0,0,108,108,13412189,14,28,1967280,0,0,0,0,0,0
202012,06,001000,071,0003,00296 ,00000 ,31765 ,348,40140, , ,92301      ,4,9,12,Adelanto,162,162,20448475,0,0,0,0,0,0,0,0,0,162,162,20448475,0,0,0,0,0,0,0,0,0
202012,06,002000,037,0007,00394 ,00000 ,20330 ,348,31080, , ,91301      ,4,9,12,Agoura Hills,2,2,820278,0,0,0,0,0,0,0,0,0,2,2,820278,0,0,0,0,0,0,0,0,0
